Opportunity Name,OP Number,Brand Vertical Classification
Novartis Starcom/APEX US AIMOVIG Unbranded & Branded FY'18 OP002309,OP002309,Health & Fitness
Men's Wearhouse Publicis/APEX US Awareness Q3-Q4'20 (Aug-Oct) OP005487,OP005487,"Retail, Style & Fashion"
Alcon Laboratories Starcom/APEX US Precision1 Target Optical FY21 (Q1-Q2'21) OP007253,OP007253,Health & Fitness
Wingstop Starcom/APEX US Heavy QSR Q1-Q2'21 OP007254,OP007254,Quick Service Restaurant (QSR)
Novartis Starcom/APEX US Cosentyx PsA Q3-Q4 2017 OP002227,OP002227,Health & Fitness
DPSG Initiative US 7UP Q1-Q4'18 OP002298,OP002298,CPG/Food & Drink
CA Lottery Casanova CA Holiday Hispanic Scratchers Q4'17 OP002299,OP002299,Arts & Entertainment
Arby's Initiative USA Local COOP Campaign Q4'17 OP002228,OP002228,Quick Service Restaurant (QSR)
Nikon International Q4 2017 OP002306,OP002306,CPG
SK2 Capital ID Unique Geo Awareness Q1'21 OP007023,OP007023,"Business, Finance, Real Estate"
Alcon Laboratories Starcom/APEX US Precision1 FY21 Q2'21 OP007476,OP007476,Health & Fitness
Alcon Laboratories Starcom/APEX US Precision1 FY21 Q3'21 OP007477,OP007477,Health & Fitness
Sony Music: The Lone Bellow US Q3 2017 OP002229,OP002229,Arts & Entertainment
Apple OMD CL_Switchers_ILAAS Q1'21 OP007417,OP007417,Technology & Computing
Cox Communications Spark/APEX US Q4 2017 OP002226,OP002226,Telecommunication
Samsung Starcom/APEX US Samsung 'WARM' 2021 Q2-Q4'21 OP007170,OP007170,Technology & Computing
Spin Master Initiative US Monster Jam Spring Q1'21 OP007228,OP007228,CPG
Spin Master Initiative US Kinetic Sand Spring Q1'21 OP007234,OP007234,CPG
ATT Hearts & Science US Mobility Postpaid LOB Q1 2021 OP007411,OP007411,Telecommunication
Enbridge Publicis/APEX Minnesota Counties Awareness Advocacy Q1'21 OP007032,OP007032,Energy Oil/Gas
Twitch MediaHub US Wrapper Q1'21 OP007135,OP007135,Technology & Computing
Too Faced: Festival Collection Q1'18 OP002567,OP002567,"Retail, Style & Fashion"
Anthem Starcom/APEX US Small Group Q4'17 OP002191,OP002191,Health & Fitness
Nature Made Neo-Mindshare US Nurish Awareness ILAAS Q1'21 OP007035,OP007035,CPG
Jaguar: Video Partner Thunderdome Challenge / CF OP001045,OP001045,Automotive
Trunk Club Starcom/APEX US July Q3'17 OP002062,OP002062,"Retail, Style & Fashion"
Providence Health Institute MediaPlus US RFI Providence OR Cardiology Brand Q2-Q4'21 OP007332,OP007332,Health & Fitness
"Metro Mattress Jordan, Ross & Rose Advertising FY21 Campaign Q1-Q4'21 OP007024",OP007024,Home & Garden
Grupo Bimbo Starcom/APEX US Takis Superbowl Q1'21 OP007112,OP007112,CPG/Food & Drink
Starbucks Starcom/APEX US NCP Cold Brew Director's Mix Q2-Q3'21 OP007069,OP007069,CPG/Food & Drink
FOX TH Zenith/APEX Canada Murder on Orient Express Q4'17 OP002287,OP002287,Arts & Entertainment
